FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
114,2024,40.463035,98.652146,20' SE of entrance,GPS-DIF,83,2001-07-31
116,2024,40.579001,98.241178,50' S of door to seed treatment building,GPS-DIF,83,2000-06-20
125,2024,40.585260,98.402540,parking lot west of front door,GPS-WAAS,83,2006-06-29
128,2024,40.579503,98.255831,50' N of door '1',GPS-DIF,83,2000-06-20
133,2024,40.571460,98.406660,100 feet west of west door of building,GPS-WAAS,83,2006-03-06
134,2024,40.585163,98.398888,"On drive, NE corner of bldg.",GPS-DIF,83,2001-07-31
136,2024,40.569640,98.408000,northeast entrance to facility,GPS-WAAS,83,2006-03-06
138,2024,40.582918,98.387552,"Curbside W side, 40' from entrance",GPS-DIF,83,2001-07-31
142,2024,40.582180,98.360242,NW corner of bldg.,GPS-DIF,83,2001-07-31
203,2024,40.606306,98.401468,E corner entrance on Baltimore,GPS-DIF,83,2001-07-31
204,2024,40.583160,98.335265,drive,GOOGLE,84,2016-03-02
205,2024,40.584747,98.354439,"middle entry drive, west side N Showboat Blvd",DIG-DOQ,83,2010-01-04
247,2024,40.567974,98.413735,intersection of facility access road & W Hwy 6,DIG-DOQ,83,2009-12-21
421,2024,40.696240,98.368620,"main entr,~100'SW of scale house/offce on Clark St",GPS-WAAS,83,2007-08-24
473,2024,40.584679,98.409371,parking stall in front of main (east) building,GOOGLE,84,2016-03-02
562,2024,40.468890,98.553710,southeasternmost drive,DIG-DOQ,83,2015-12-04
723,2024,40.564980,98.312480,parking lot of main office,GPS-WAAS,83,2005-09-21
736,2024,40.581100,98.278180,drive,DIG-DOQ,83,2013-03-25
900,2024,40.666468,98.591838,drive,GOOGLE,84,2016-03-02
902,2024,40.597230,98.504300,west drive,DIG-DOQ,83,2015-12-08
907,2024,40.592660,98.508030,10 feet north of scale house/office,GPS-WAAS,83,2006-10-19
938,2024,40.469810,98.558270,grain elevator,DIG-DOQ,83,2015-12-04
945,2024,40.580799,98.267999,60' S of sales office door,GPS-DIF,83,2000-06-20
1127,2024,42.109215,98.038123,"30' E of AVGas tank, 40' NW of corner of hanger",GPS-DIF,83,2000-05-15
1213,2024,42.075643,97.971125,20' E of door,GPS-DIF,83,2000-05-15
1250,2024,41.989279,98.084177,"60' W of door, 20' W of building",GPS-DIF,83,2000-05-15
1310,2024,42.333280,98.237987,15' NW of door,GPS-DIF,83,2000-05-15
1418,2024,41.569791,97.866839,"50' NW of door, NW corner of lot",GPS-DIF,83,2000-05-15
1419,2024,41.569200,97.865650,"along west side of bldg,~12' from entrance door",GPS-WAAS,83,2022-02-17
1430,2024,41.696477,98.003840,15' S of door,GPS-DIF,83,2000-05-15
1447,2024,41.699115,98.007343,driveway on Hwy 14,GPS-DIF,83,2000-05-15
1459,2024,41.690862,97.995916,20' NE of door,GPS-DIF,83,2000-05-15
1545,2024,41.675237,97.980648,S end of gate,GPS-DIF,83,2000-05-15
1549,2024,41.853394,98.080340,25' NW of door (113 E Main St),GPS-DIF,83,2021-10-19
1674,2024,41.565946,97.861828,"roadside, 60' SW of door",GPS-DIF,83,2000-05-15
1699,2024,42.090795,102.839430,first stall visitor parking,DIG-DOQ,84,2014-09-18
1707,2024,42.095360,102.873600,front of office,GPS-WAAS,83,2008-08-28
1734,2024,42.109130,102.896840,parking lot east side of office,GPS-WAAS,83,2007-03-21
1870,2024,42.321892,103.190061,easternmost drive,GOOGLE,84,2016-03-02
1886,2024,42.097180,102.788580,30'E of entrance,GPS-WAAS,83,2007-03-21
1897,2024,42.094790,102.870880,E side admin division bldg loc at 1&Box Butte Sts,GPS-WAAS,83,2005-10-12
1926,2024,42.219638,102.976117,drive from Jefferson Rd,GOOGLE,84,2016-03-02
1945,2024,42.097240,102.880310,"S side facility bldg, about 20 ft W of front door",GPS-WAAS,83,2005-10-12
2089,2024,42.095558,102.853034,building at propane plant,GOOGLE,84,2016-03-02
2116,2024,42.962364,99.095310,"W drive, 50' NE of door, 20' N of bulk fuel tanks",GPS-DIF,83,2001-07-31
2145,2024,42.870734,98.701348,gate,GPS-DIF,83,2001-07-31
2151,2024,42.828280,98.469810,drive,DIG-DOQ,84,2015-09-18
2301,2024,42.550270,99.887740,east drive on Hwy 20,DIG-DOQ,83,2013-08-15
2321,2024,42.550460,99.852940,15 feet south of main entrance,GPS-WAAS,83,2005-09-30
2367,2024,42.545262,99.861632,building,GOOGLE,84,2018-03-02
2374,2024,40.709540,99.026570,at west entrance,GPS-WAAS,83,2007-09-12
2375,2024,41.023940,98.910350,10 feet west of main entrance,GPS-WAAS,83,2006-03-31
2395,2024,40.691861,99.102088,Drive 40 yards S of facility,GPS-DIF,83,2001-07-31
2398,2024,40.709964,99.018578,Gate entrance off Highway 30,GPS-DIF,83,2014-04-03
2413,2024,40.657080,99.380490,south entrance to west facility on Hwy 183,GPS-WAAS,83,2006-10-03
2421,2024,40.732700,98.912540,"entr to fac,W sd Optic Rd,~15-'S of jct Optic&Hy34",GPS-WAAS,83,2006-02-22
2452,2024,40.719199,99.015846,entrance to Airport on Airport Rd,GOOGLE,84,2016-03-02
2557,2024,40.681134,99.085869,20 yards E of door,GPS-DIF,83,2019-02-28
2774,2024,40.928730,99.391070,west main entrance on Hwy 40,GPS-WAAS,83,2006-09-29
2789,2024,40.694716,99.095048,10 yards E of SE corner of building,GPS-DIF,83,2001-07-31
2861,2024,40.698863,99.083106,15 ft from SE corner of bldg,GPS-DIF,83,2001-07-31
2935,2024,40.734790,98.845610,Drive. 50 yards east of residence,GPS-DIF,83,2001-07-31
2948,2024,41.024910,98.906260,north of main entrance to offices 15 feet,GPS-WAAS,83,2006-03-31
2971,2024,40.713803,98.995004,20 yards SW of Office,GPS-DIF,83,2001-07-31
3099,2024,40.682266,99.087328,30 yards W of bldg,GPS-DIF,83,2001-07-31
3147,2024,40.686378,99.085330,20 yards W of facility,GPS-DIF,83,2001-07-31
3218,2024,40.699537,99.129385,20 yards south of facility,GPS-DIF,83,2001-07-31
3219,2024,40.673830,99.087770,drive,DIG-DOQ,83,2013-03-25
3265,2024,40.693637,99.086180,15 ft S of office,GPS-DIF,83,2001-07-31
3273,2024,40.678340,99.255890,S side main E entr to facility(W side Odessa Rd),GPS-WAAS,83,2006-06-14
3361,2024,40.701840,99.061890,at office near scale,GPS-WAAS,83,2005-10-01
3390,2024,41.016910,98.912640,west entrance to facility (east side Ravenna Rd),GPS-WAAS,83,2006-12-14
3400,2024,41.015080,98.910450,10 feet east of east main entrance to admin bldg,GPS-WAAS,83,2006-03-31
3431,2024,40.751990,98.838510,southwest entrance along Hwy 30,GPS-WAAS,83,2005-09-30
3445,2024,40.748424,98.845365,15ft. East of office entry,GPS-DIF,83,2001-07-31
3447,2024,40.746612,98.854418,100 yards west of site,GPS-DIF,83,2001-07-31
3455,2024,40.778557,98.737821,Parking S. side 12' S. of entrance,GPS-DIF,83,2001-07-31
3456,2024,40.785805,98.718552,E. side of drive off Hwy 30,GPS-DIF,83,2001-07-31
3503,2024,40.692390,99.381470,50 feet southeast of main southeast entrance,GPS-WAAS,83,2006-09-29
3743,2024,41.767063,96.223148,"20' N of door, parking N of building (flats)",GPS-DIF,83,2013-06-18
3749,2024,41.760327,96.221248,"30' SW of door, 20' S of SW corner bulding",GPS-DIF,83,2000-10-10
3849,2024,41.938017,96.459646,gate,GPS-DIF,83,2000-10-10
3877,2024,41.182112,97.000046,15' N of NW corner of building,GPS-DIF,83,2000-04-29
3878,2024,41.082394,97.018118,20' N of office in parking area off Maple St,GPS-DIF,83,2000-04-29
3879,2024,41.342502,97.236355,"SW cor, 10' N of metal shed, 75' S of grain elevat",GPS-DIF,83,2000-04-29
3885,2024,41.348133,97.273477,current entrance at gate (4171 F Rd),GPS-WAAS,83,2022-05-19
3921,2024,41.232603,97.127385,"20' S of S door, in parking space",GPS-DIF,83,2000-04-29
3975,2024,41.266520,97.129240,north side of building (car wash),GPS-WAAS,83,2005-10-31
4028,2024,41.176063,97.167007,"NW corner of office, 40' N of door",GPS-DIF,83,2000-04-29
4043,2024,41.256941,97.102166,"N entrance from Road 35.5, W of ammonia tanks",GPS-DIF,83,2000-04-29
4066,2024,41.198278,97.295527,60' S of central door to office,GPS-DIF,83,2000-04-29
4084,2024,41.162478,97.032796,drive,GOOGLE,84,2016-03-03
4118,2024,40.874557,96.199728,"SE corner of bldg, 12' E of entrance",GPS-DIF,83,2000-04-29
4121,2024,40.972945,95.923434,10' NE of entrance,GPS-DIF,83,2000-04-29
4122,2024,40.817396,96.430608,"NE corner of bldg, middle of block, W side on 4th",GPS-DIF,83,2000-04-29
4125,2024,40.863715,96.133371,E side of W gate,GPS-DIF,83,2000-04-29
4126,2024,40.962663,96.441478,10' from N entrance,GPS-DIF,83,2000-04-29
4129,2024,41.004370,96.155770,main door to office building,GPS-WAAS,83,2013-09-20
4213,2024,40.985722,95.919156,10' SW of office entrance,GPS-DIF,83,2000-04-29
4236,2024,40.838540,96.295380,20' S of Jct S 3rd & W A - main office,GPS-WAAS,83,2005-08-17
4248,2024,40.923950,95.868240,main entry gate into the WWTF on east side,GPS-WAAS,83,2006-12-05
4270,2024,40.871911,96.177898,15' W of entrance,GPS-DIF,83,2000-04-29
4279,2024,40.918272,96.164377,15' W of office door,GPS-DIF,83,2000-04-29
4281,2024,40.925340,96.278740,"Jct 3rd St & Railroad Ave, 30' W of scale house",GPS-WAAS,83,2005-08-18
4301,2024,40.871759,96.189137,"20' from SE corner of bldg, 25' SE of entrance",GPS-DIF,83,2000-04-29
4315,2024,40.871943,96.183888,10' S of building,GPS-DIF,83,2001-03-09
4336,2024,41.001639,95.907316,6' W inside gate,GPS-DIF,83,2000-04-29
4413,2024,41.024470,95.881560,entrance gate east of the treatment building,GPS-WAAS,83,2006-01-24
4429,2024,40.829566,95.991592,15' E of door on Main St.--no number listed,GPS-DIF,83,2000-04-29
4437,2024,40.987589,96.215389,30' S of office entrance,GPS-DIF,83,2000-04-29
4565,2024,40.944425,96.466513,10' NW  of gate entrance,GPS-DIF,83,2000-04-29
4643,2024,42.505555,97.201272,bulk plant,GOOGLE,84,2018-03-26
4653,2024,42.622560,97.266207,"NE corner of lot, 45' NE of door",GPS-DIF,83,2001-06-18
4666,2024,42.628350,97.268940,"at office bldg,just E&a few ft N of vistr Prkg lot",GPS-WAAS,83,2006-03-15
4678,2024,41.074050,96.498280,"west drive, south side of road",DIG-DOQ,83,2008-01-25
4737,2024,42.379072,97.367620,"roadside, N of middle drive",GPS-DIF,83,2001-06-18
4741,2024,42.431646,97.095506,35' S of door,GPS-DIF,83,2001-06-18
4791,2024,42.699608,97.362405,"30' NE of door, curb",GPS-DIF,83,2001-06-18
4893,2024,42.424113,97.092892,"60' E of gate, 15' S of door",GPS-DIF,83,2001-06-18
4983,2024,40.512110,101.628370,drive to airport,DIG-DOQ,83,2016-02-09
4989,2024,40.546927,101.989175,drive from Hwy 6,GOOGLE,84,2016-03-03
5055,2024,40.412179,101.371086,south drive,DIG-DOQ,83,2014-01-17
5094,2024,40.506740,101.628360,northernmost drive,DIG-DOQ,83,2015-12-04
5131,2024,40.513156,101.627697,main building,DIG-DOQ,83,2014-02-26
5164,2024,40.513614,101.643486,main door to service station,GPS-WAAS,83,2016-07-12
5275,2024,42.926764,100.751398,scale,GOOGLE,84,2016-03-03
5357,2024,42.872188,100.543770,drive,DIG-DOQ,83,2014-01-17
5394,2024,42.864970,100.539765,drive from shared drive,GOOGLE,84,2016-03-03
5438,2024,42.871842,100.547115,west drive,GOOGLE,84,2016-03-03
5456,2024,41.196560,102.992199,"50' W of white bldg, south side of gas plant",GPS-DIF,83,2000-04-29
5465,2024,41.263587,102.885600,5' W of the NW corner in visitor parking area,GPS-DIF,83,2000-04-29
5551,2024,41.126603,102.967615,20' W of West entrance of office,GPS-DIF,83,2000-04-29
5620,2024,41.147820,102.975281,10' S from SW corner of blue bldg,GPS-DIF,83,2000-04-29
5633,2024,41.118235,102.950114,15' SE from SW corner of bldg,GPS-DIF,83,2000-04-29
5688,2024,41.235513,102.970672,north (main) drive on Hwy 385,DIG-DOQ,84,2015-02-11
5741,2024,41.126833,102.969260,15' NW of the NE corner of building,GPS-DIF,83,2000-04-29
5798,2024,41.406061,102.974655,10' from middle of the N side of bldg,GPS-DIF,83,2000-04-29
5822,2024,41.214202,103.316023,25' E of the NE corner of bldg,GPS-DIF,83,2000-04-29
5825,2024,41.322716,102.877296,30' NW of office,GPS-DIF,83,2000-04-29
5855,2024,40.396680,97.835932,40' W of scale office door,GPS-DIF,83,2000-06-20
5856,2024,40.428647,98.105695,40' NW of door,GPS-DIF,83,2000-06-20
5861,2024,40.607457,97.860003,15' N of door,GPS-DIF,83,2000-06-20
5892,2024,40.372171,97.976629,main drive,GOOGLE,84,2016-03-03
5902,2024,40.494341,98.241339,north drive,GOOGLE,84,2016-03-03
5944,2024,40.678460,98.276430,E drve(S sd Hartford St)of office/tire repair bldg,GPS-WAAS,83,2006-06-19
5946,2024,40.617050,98.091720,site,DIG-DOQ,83,2015-12-17
5975,2024,40.525751,98.140877,60' S of door in drive,GPS-DIF,83,2000-06-20
5994,2024,40.355771,98.138623,15' W of door,GPS-DIF,83,2000-06-20
6003,2024,40.428039,98.102929,20' N of door,GPS-DIF,83,2000-06-20
6019,2024,40.521660,98.059599,25' N of door by scale,GPS-DIF,83,2000-06-20
6080,2024,40.606606,97.843763,"drive, 15' SE of gas barrels",GPS-DIF,83,2000-06-20
6102,2024,40.610861,97.880652,40' W of scale office door,GPS-DIF,83,2000-06-20
6117,2024,40.597286,97.859138,west drive on Hwy 6,GOOGLE,84,2021-08-05
6169,2024,41.728485,97.002985,25' NE of corner of building,GPS-DIF,83,2000-08-09
6173,2024,41.726196,97.003035,25' NE of building,GPS-DIF,83,2000-08-09
6264,2024,41.449353,97.051186,30' SE of building,GPS-DIF,83,2000-08-09
6272,2024,41.452390,97.095550,"Employee entrance gate, north side of facility",GPS-WAAS,83,2005-08-23
6296,2024,41.449837,97.069943,15' E of office,GPS-DIF,83,2000-08-09
6312,2024,41.703690,97.238210,curbside at the northwest corner of the property,GPS-WAAS,83,2006-11-13
6405,2024,41.726791,97.117501,20' E of gate,GPS-DIF,83,2000-08-09
6439,2024,41.838360,96.712890,"main office door, east side of main building",GPS-WAAS,83,2008-05-22
6470,2024,41.926609,96.808764,"parking, 40' N of office door",GPS-DIF,83,2001-06-18
6638,2024,41.798434,96.708692,"60'W of door, office (Sales & Billing)",GPS-DIF,83,2001-06-18
6703,2024,41.852122,96.710068,gate,GPS-DIF,83,2001-06-18
6862,2024,41.404295,99.630652,35' SW of W entrance,GPS-DIF,83,2000-04-29
6872,2024,41.419330,99.635930,"north drive of circle drive, drive to hangar & res",DIG-DOQ,83,2012-10-31
6941,2024,41.422997,99.650465,25' E of office entrance,GPS-DIF,83,2000-04-29
7004,2024,41.642372,99.363116,12' W of W office entrance S of scale,GPS-DIF,83,2000-04-29
7048,2024,41.287999,99.388224,"25' S of SW corner of bldg, next to scale",GPS-DIF,83,2000-04-29
7103,2024,41.638147,99.366452,"10' E NE corner of building, 20' NE of entrance",GPS-DIF,83,2000-04-29
7147,2024,41.300044,99.922607,20' SW of office entrance,GPS-DIF,83,2000-04-29
7180,2024,41.418355,100.193859,E edge of entrance to yard,GPS-DIF,83,2000-04-29
7248,2024,41.401993,99.625890,50' S of entrance in parking area,GPS-DIF,83,2000-04-29
7274,2024,41.283940,99.384520,"10' S SE corner of building, 15' SE of office entr",GPS-DIF,83,2000-04-29
7328,2024,42.445497,96.414522,30' SE of door,GPS-DIF,83,2001-06-18
7336,2024,42.467785,96.403005,"75' N of corner of building, shipping dock",GPS-DIF,83,2001-06-18
7339,2024,42.427700,96.414530,main entrance/employee entrance,DIG-DOQ,83,2013-10-31
7408,2024,42.437819,96.413772,"60' SE of door, N gate to yard",GPS-DIF,83,2001-06-18
7573,2024,42.420320,96.424190,south side of entr where entr & N 20 St meet,GPS-DIF,83,2006-06-15
7662,2024,42.479966,96.418710,"gate, 30' S of door",GPS-DIF,83,2001-06-18
7797,2024,42.830990,102.998906,SE corner of building near front door,GPS-DIF,83,2001-02-28
7964,2024,42.683192,103.399149,At driveway entrance,GPS-DIF,83,2001-08-23
8088,2024,42.835440,102.991500,drive,DIG-DOQ,83,2012-01-30
8104,2024,42.683699,103.413269,SE corner of property,GPS-DIF,83,2001-08-16
8111,2024,42.686815,103.412881,15' S of front door,GPS-DIF,83,2001-08-23
8132,2024,40.810420,99.710640,Road 435 entrance,GPS-WAAS,83,2006-10-19
8150,2024,40.852869,99.972778,drive,DIG-DOQ,83,2014-07-17
8191,2024,40.768040,99.711080,driveway off road 435,GPS-WAAS,83,2006-10-19
8434,2024,40.855920,99.982160,East Hwy 30 entrance,GPS-WAAS,83,2006-10-19
8443,2024,40.854779,99.990203,westernmost drive,GOOGLE,84,2016-02-24
8484,2024,40.737750,99.740960,at front door of main building,GPS-WAAS,83,2006-02-10
8512,2024,40.694010,99.701490,~ 20 feet south of main entrance,GPS-WAAS,83,2006-01-24
8603,2024,40.744830,99.739590,at entrance gate,GPS-WAAS,83,2006-01-24
8622,2024,40.925140,100.153030,"drive into maintenance building, SE end property",GPS-WAAS,83,2016-03-07
8659,2024,40.780813,99.749435,drive to shop,GOOGLE,84,2016-03-07
8669,2024,40.812660,99.710500,entrance off road 435,GPS-WAAS,83,2006-10-19
8744,2024,40.764350,99.739230,entrance to facility,DIG-DOQ,83,2013-11-01
8904,2024,41.060956,102.075529,20' from SW corner of E building,GPS-DIF,83,2000-04-29
8905,2024,41.091538,102.473698,20' from SE corner of E bldg,GPS-DIF,83,2000-04-29
8910,2024,41.051765,102.070934,15' NW of West entrance,GPS-DIF,83,2000-04-29
8914,2024,41.036296,102.090127,10' from SW corner of office building,GPS-DIF,83,2000-04-29
8973,2024,41.104290,102.466760,drive,DIG-DOQ,83,2008-07-01
9057,2024,42.271390,96.864580,"50' S of main entrance, east side of Main Street",GPS-WAAS,83,2005-09-19
9061,2024,42.415095,96.996144,20' E of door,GPS-DIF,83,2001-06-18
9100,2024,42.647997,96.862657,20' S of office building,GPS-DIF,83,2001-06-18
9141,2024,41.419562,96.495671,"30'E of office door, at scale",GPS-DIF,83,2000-04-29
9143,2024,41.464063,96.490422,40'E  & 20'E of office door,GPS-DIF,83,2000-04-29
9144,2024,41.420400,96.490881,25'S & 15'E of entrance on S side,GPS-DIF,83,2000-04-29
9149,2024,41.429494,96.499360,100'S & 10'E of office door,GPS-DIF,83,2000-04-29
9155,2024,41.664465,96.666321,40'SE of office door at scale,GPS-DIF,83,2000-04-29
9169,2024,41.430585,96.498685,15' S of door by scale,GPS-DIF,83,2000-04-29
9176,2024,41.423092,96.481634,15'S of gate to yard E of entrance,GPS-DIF,83,2000-04-29
9177,2024,41.419010,96.493358,30'S of office door,GPS-DIF,83,2000-04-29
9188,2024,41.425252,96.479380,6' N of gate to facility,GPS-DIF,83,2000-04-29
9190,2024,41.407837,96.525694,drive,DIG-DOQ,83,2014-08-13
9195,2024,41.421175,96.489413,building,GOOGLE,84,2016-03-07
9234,2024,41.479785,96.471560,at entrance gate,GPS-DIF,83,2000-04-29
9235,2024,41.451928,96.473511,north drive,GOOGLE,84,2017-01-24
9319,2024,41.460017,96.495919,25'W & 25'N of office door,GPS-DIF,83,2000-04-29
9419,2024,41.426000,96.497300,approximate location,DIG-DOQ,83,2011-09-15
9435,2024,41.465465,96.493165,20'N & 25'W of door,GPS-DIF,83,2000-04-29
9436,2024,41.464180,96.521402,drive,GOOGLE,84,2016-03-07
9494,2024,41.451182,96.544570,25'E of front door,GPS-DIF,83,2000-04-29
9540,2024,41.665099,96.666600,35'W of SW corner scale building,GPS-DIF,83,2000-04-29
9563,2024,41.713063,96.885004,60' E of N end of scale building,GPS-DIF,83,2000-04-29
9595,2024,41.461530,96.788040,approximate location of drive,DIG-DOQ,83,2010-10-15
9626,2024,41.720720,96.885365,50'NNE of door by scale,GPS-DIF,83,2000-04-29
9662,2024,41.421510,96.487170,"main entrance door on west side, 30' west of door",GPS-WAAS,83,2006-06-01
9665,2024,41.421180,96.473880,east side of the north end of the office building,GPS-WAAS,83,2006-12-05
9733,2024,41.462760,96.779288,25'N of W door on N side,GPS-DIF,83,2000-04-29
9743,2024,41.421090,96.483090,front gate,GPS-WAAS,83,2006-01-24
9848,2024,41.703763,96.789309,drive into garage,DIG-DOQ,84,2015-02-18
9954,2024,41.707489,96.792024,60'N of Office door,GPS-DIF,83,2000-04-29
10000,2024,41.460360,96.790243,"25'W of S end of gate, E end facility",GPS-DIF,83,2000-04-29
10021,2024,41.643208,96.586153,drive,GOOGLE,84,2015-08-18
10138,2024,41.424854,96.476640,"50'W of office entrance, parking lot",GPS-DIF,83,2000-04-29
10170,2024,41.460946,96.494970,20'W of S entry gate,GPS-DIF,83,2000-04-29
10186,2024,41.416252,96.474130,25'W of office door,GPS-DIF,83,2000-04-29
10255,2024,41.339465,96.387064,drive,DIG-DOQ,83,2014-01-17
10257,2024,41.218521,95.959067,drive,GOOGLE,84,2016-03-07
10259,2024,41.267870,95.954520,main door north side,GPS-WAAS,83,2009-09-30
10267,2024,41.220740,95.959990,south drive,DIG-DOQ,83,2008-02-25
10271,2024,41.210453,95.964391,drive,DIG-DOQ,83,2014-01-17
10274,2024,41.198762,95.948079,"from S end Gomez Ave at Y,N of Z,25-1st Dr N,E Sd",DIG-DOQ,83,2008-01-30
10277,2024,41.218433,95.963757,end of drive at facility,GOOGLE,84,2016-03-07
10289,2024,41.244965,95.974465,north drive at Woolworth Ave,GOOGLE,84,2016-03-07
10296,2024,41.277699,95.924353,end of drive at facility,GOOGLE,84,2019-07-29
10298,2024,41.231220,96.008060,~100 feet east of office building,GPS-WAAS,83,2006-11-21
10299,2024,41.223229,95.952932,drive at 28th & C,DIG-DOQ,83,2014-01-17
10308,2024,41.306940,96.337910,parking lot on south side of building,GPS-WAAS,83,2011-02-25
10328,2024,41.279351,95.930539,main drive,GOOGLE,84,2017-11-06
10345,2024,41.218766,96.052533,drive on 90th St,GOOGLE,84,2016-03-07
10353,2024,41.220070,95.956280,southernmost parking stall south of the office,GPS-WAAS,83,2006-05-05
10393,2024,41.214190,96.058660,drive,DIG-DOQ,83,2008-02-25
10395,2024,41.219572,96.061201,drive,GOOGLE,84,2016-03-07
10397,2024,41.213925,96.035745,drive from K,GOOGLE,84,2022-07-11
10410,2024,41.216870,95.929410,north driveway,DIG-DOQ,83,2009-11-09
10441,2024,41.319650,95.937100,east drive,DIG-DOQ,84,2015-05-27
10447,2024,41.303522,95.884266,drive,GOOGLE,84,2016-03-07
10465,2024,41.215700,96.071970,drive on 102 St,DIG-DOQ,83,2008-02-25
10467,2024,41.211840,95.953900,10 feet north of north gate,GPS-WAAS,83,2005-09-07
10469,2024,41.213060,95.929800,drive to office (east drive),DIG-DOQ,83,2009-11-09
10477,2024,41.219750,96.124280,visitor parking on south side of building,GPS-WAAS,83,2008-06-26
10479,2024,41.219911,96.051443,drive,GOOGLE,84,2016-03-09
10489,2024,41.214496,96.084560,drive,GOOGLE,84,2016-03-09
10518,2024,41.215700,96.074000,front door,GOOGLE,83,2014-04-02
10520,2024,41.298000,95.944610,30'east of main entr to factory bldg on east side,GPS-WAAS,83,2006-06-22
10526,2024,41.219410,96.093570,southeast corner main office building,GPS-WAAS,83,2008-02-20
10528,2024,41.226846,95.948664,southernmost drive,GOOGLE,84,2016-03-09
10545,2024,41.218953,96.064422,entrance to building,GOOGLE,84,2019-07-29
10548,2024,41.215157,96.022668,middle drive,GOOGLE,84,2016-03-09
10550,2024,41.243610,95.942353,entrance to plant (parking east across S 20th St),GOOGLE,84,2016-03-09
10551,2024,41.219681,96.029265,"entrance to facility, south off F St",GPS-WAAS,83,2018-12-19
10553,2024,41.212290,96.017760,east drive,DIG-DOQ,83,2008-02-08
10557,2024,41.241714,95.941972,southwesternmost drive (to visitor parking),GOOGLE,84,2016-03-09
10686,2024,41.088910,103.755430,site,UNKNOWN,83,2012-03-06
10770,2024,41.271198,95.940915,driveway through gate into parking lot,DIG-DOQ,83,2013-06-20
10788,2024,41.264092,95.940992,drive to parking lot,GOOGLE,84,2016-10-07
10826,2024,41.257547,95.937455,1st parking stall in northeast corner,GOOGLE,84,2020-02-03
10854,2024,41.261642,95.937332,drive (formerly Davenport),GOOGLE,84,2016-03-09
10883,2024,41.407450,103.066820,site,UNKNOWN,83,2012-03-06
11069,2024,40.113280,101.019850,well on lease,UNKNOWN,84,2015-02-20
11214,2024,41.230260,96.013310,site (also chemicals),GOOGLE,83,2022-02-09
11286,2024,41.252849,95.984883,north drive,GOOGLE,84,2016-03-09
11328,2024,41.238830,95.999983,northernmost drive,GOOGLE,84,2016-03-09
11365,2024,41.228170,96.014190,drive,DIG-DOQ,83,2008-02-25
11505,2024,41.224725,95.933056,main driveway to parking lot from 13 St,GOOGLE,84,2016-11-01
11568,2024,41.218396,95.959182,gate on G Street,GOOGLE,84,2016-03-10
11712,2024,41.651100,103.154970,site,UNKNOWN,83,2012-03-01
11738,2024,41.296410,95.954670,drive from 4149 N 29 St property,ADDMAT,83,2021-02-23
11785,2024,41.283668,95.930365,south (main) drive,DIG-DOQ,84,2015-02-23
11954,2024,41.323606,95.957325,northwesternmost drive,GOOGLE,84,2016-03-10
11998,2024,41.320750,95.930300,plant,DIG-DOQ,83,2015-12-01
12253,2024,41.215290,96.040370,west drive,DIG-DOQ,83,2008-02-19
12256,2024,41.204620,103.628120,site,UNKNOWN,83,2012-03-01
12288,2024,41.211526,96.008967,drive west of office,GOOGLE,84,2018-02-21
12378,2024,41.340402,96.079933,south drive,GOOGLE,84,2016-08-30
12587,2024,41.219545,96.055379,drive,GOOGLE,84,2016-03-10
12593,2024,40.059380,101.100300,site,UNKNOWN,83,2012-03-01
12771,2024,41.217420,96.079100,south entrance to site,GPS-WAAS,83,2006-07-21
12810,2024,41.220018,96.053886,drive,GOOGLE,84,2016-03-10
13213,2024,41.310979,96.045732,drive,GOOGLE,84,2020-02-05
13390,2024,41.212604,96.126788,drive on L St,GOOGLE,84,2016-03-10
13403,2024,41.216440,96.132960,east (main) drive,DIG-DOQ,83,2016-01-29
13423,2024,41.315557,95.923661,drive to parking lot on Crown Point,GOOGLE,84,2016-03-11
13425,2024,41.202870,96.118040,main entry door northeast side,GPS-WAAS,83,2006-09-22
13485,2024,41.219945,96.075997,site,GOOGLE,84,2022-09-19
13511,2024,41.210758,96.131584,drive north side Millard (Hwy 50),DIG-DOQ,83,2008-02-01
13557,2024,41.317050,103.717020,site,UNKNOWN,83,2012-03-01
13685,2024,41.233711,96.090901,drive,GOOGLE,84,2016-03-11
13742,2024,41.223958,96.130633,west drive,GOOGLE,84,2016-03-11
13828,2024,40.910710,98.388740,southwest corner of property,DIG-DOQ,83,2012-03-06
13855,2024,41.261704,96.092657,southeasternmost drive,GOOGLE,84,2024-02-23
13995,2024,41.249333,95.931620,east drive on Pacific (customer parking),GOOGLE,84,2016-03-11
14007,2024,41.290395,96.283177,"north dr to offices, east side J C Robinson Blvd",GOOGLE,84,2016-03-11
14114,2024,41.208110,95.961720,"main entrance door to the A-E facility,20 ft west",GPS-WAAS,83,2008-08-29
14156,2024,41.290380,95.899930,drive,DIG-DOQ,83,2008-02-19
14325,2024,41.214833,96.126787,north drive (main drive) on Industrial Rd,GOOGLE,84,2016-06-23
14347,2024,41.215130,96.018010,drive,GOOGLE,84,2021-02-11
14465,2024,41.282422,95.932663,S End of 13th St (at approximately Ohio) at elev,DIG-DOQ,83,2014-04-03
14513,2024,41.216278,96.031332,entrance to north building,DIG-DOQ,83,2016-02-24
14516,2024,41.219680,96.026990,drive on south side F,DIG-DOQ,83,2008-02-04
