FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
107503,2024,40.187710,101.617260,Parman 1-33 Van Pelt Field,UNKNOWN,,2016-02-09
107504,2024,40.193401,101.628371,Everett 1-29,UNKNOWN,,2016-02-09
107505,2024,40.433200,99.391000,building,GOOGLE,84,2025-03-05
107506,2024,40.167390,101.575740,Connie 1-2,UNKNOWN,,2016-02-10
107507,2024,40.184509,101.504289,Kasten 1-33,UNKNOWN,,2016-02-10
107509,2024,40.062451,101.563394,Clark 1-12,UNKNOWN,,2016-02-10
107510,2024,40.084932,101.613350,Lutz 1-4,UNKNOWN,,2016-02-10
107511,2024,40.058176,101.599243,Schrader 1-15,UNKNOWN,,2016-02-10
107513,2024,40.004666,101.613682,Schafer A 1-33,UNKNOWN,,2016-02-10
107530,2024,40.100672,101.514501,marquis semier 8-32,UNKNOWN,83,2024-02-27
107540,2024,41.217380,96.104160,parking lot outside main entr at SE cnr building,GPS-WAAS,83,2020-09-24
107544,2024,40.214227,100.654326,northeast corner,DIG-DOQ,83,2016-02-23
107548,2024,41.829180,97.774930,approximate location of drive,GOOGLE,84,2016-02-24
107550,2024,40.530375,101.629075,drive,GOOGLE,84,2016-02-25
107553,2024,41.161319,96.124800,approximate location of door,DIG-DOQ,83,2016-02-29
107554,2024,41.265705,95.934306,northwest corner of building,GOOGLE,84,2017-02-01
107556,2024,41.104912,100.735530,east drive,GOOGLE,84,2016-02-29
107565,2024,42.325180,103.069050,south side of Osborn between Roland & Grimes,GPS-WAAS,83,2022-10-28
107566,2024,42.324797,103.073739,propane,GOOGLE,84,2016-03-02
107590,2024,41.437852,97.233174,drive,GOOGLE,84,2025-03-05
107720,2024,41.176628,96.107129,approximate southeast corner,GOOGLE,84,2016-04-19
107774,2024,41.481445,99.827726,approximate southeast corner,GOOGLE,84,2016-04-28
108293,2024,40.864788,96.777549,main entr to 5150 NW 40 St (mobile pipeline bldg),GOOGLE,84,2016-08-18
108332,2024,40.856018,96.645732,gate from shared drive,GOOGLE,84,2016-08-29
108432,2024,41.118406,96.143113,drive from Capehart Rd,GOOGLE,84,2019-01-23
108913,2024,40.230288,95.775735,shed at bulk plant,GOOGLE,84,2016-12-07
109106,2024,40.967615,96.795371,drive,GOOGLE,84,2017-01-09
109118,2024,40.700225,100.689157,approximate southwest corner,GOOGLE,84,2017-01-12
109188,2024,41.439681,97.375321,drive,GOOGLE,84,2017-01-24
109189,2024,40.858431,96.637058,drive,GOOGLE,84,2017-01-24
109190,2024,40.810416,96.758772,drive,GOOGLE,84,2017-01-24
109229,2024,40.649518,96.178838,drive,GOOGLE,84,2017-02-08
109251,2024,40.189790,101.381550,site,UNKNOWN,,2017-02-16
109252,2024,40.253878,101.591925,site,UNKNOWN,,2017-02-16
109253,2024,41.257422,95.938258,building,DIG-DOQ,83,2017-02-16
109254,2024,40.610013,95.934571,approximate southeast corner,GOOGLE,84,2017-02-16
109257,2024,41.685690,97.242751,drive from Road 1A,GOOGLE,84,2017-02-17
109259,2024,42.111888,98.046540,drive,GOOGLE,84,2017-02-17
109261,2024,41.854258,103.636950,building,GOOGLE,84,2017-02-17
109265,2024,40.086774,100.416088,well,UNKNOWN,84,2017-02-21
109266,2024,40.090323,100.437239,well,UNKNOWN,84,2017-02-21
109277,2024,40.738733,96.701251,approximate southwest corner,GOOGLE,84,2017-02-22
109285,2024,40.815150,96.717177,south drive at building B,GOOGLE,84,2017-02-23
109311,2024,40.276179,96.021684,existing drive,GOOGLE,84,2017-03-02
109363,2024,42.010980,97.428142,existing drive,GOOGLE,84,2017-03-09
109504,2024,41.121312,95.956526,driveway,GOOGLE,84,2017-04-11
109702,2024,41.709539,98.021213,drive on Highway 14,GOOGLE,84,2017-05-24
109742,2024,41.280684,96.279722,drive,GOOGLE,84,2017-05-31
109835,2024,40.436772,101.894994,location of new YYYS Unit 1-31 Well,UNKNOWN,84,2017-06-28
110052,2024,40.824888,96.655581,short driveway immediately North of tower,GOOGLE,84,2017-08-14
110094,2024,40.827399,96.604180,tower,GOOGLE,84,2017-08-23
110232,2024,41.222732,98.450774,tower,GOOGLE,84,2017-09-12
110282,2024,40.284917,98.407795,NW Cnr 2045 Road 1800,GOOGLE,84,2017-09-21
110376,2024,40.782843,96.710235,cell tower,GOOGLE,84,2017-10-13
110781,2024,41.404529,102.973318,approximate northeast corner of yard,GOOGLE,84,2018-01-03
110813,2024,40.100743,101.230396,site,UNKNOWN,84,2018-01-12
110823,2024,40.101997,96.163177,main drive to farm,GOOGLE,84,2018-01-17
110825,2024,41.131876,96.440286,driveway,GOOGLE,84,2020-02-20
110854,2024,40.856929,96.688038,drive from north drive to school,GOOGLE,84,2018-01-24
110934,2024,40.870644,98.054004,drive,GOOGLE,84,2018-02-01
110961,2024,40.566490,98.797430,"main entrance to elevator, south side Hwy 6&34",GPS-WAAS,83,2018-02-06
110977,2024,41.269081,96.055378,parking in front of north end of building,GOOGLE,84,2018-02-08
110984,2024,40.172882,95.703698,site,UNKNOWN,83,2018-02-13
110988,2024,41.830279,97.132555,drive,GOOGLE,84,2018-02-15
110989,2024,41.311650,104.050300,site,UNKNOWN,84,2018-02-15
110993,2024,42.177315,96.698240,drive on Wilkinson (approximate location),GOOGLE,84,2018-02-16
110997,2024,41.941097,98.123513,drive to northernmost Elgin tower,GOOGLE,84,2018-04-10
111017,2024,42.433785,97.098353,between the two propane tanks,GOOGLE,84,2018-02-23
111019,2024,41.257966,95.939271,building,GOOGLE,84,2018-02-23
111031,2024,41.934121,96.477992,propane tank,GOOGLE,84,2018-02-27
111032,2024,41.999886,96.255858,propane tank,GOOGLE,84,2018-02-27
111033,2024,41.996807,96.246872,propane tank,GOOGLE,84,2018-02-27
111034,2024,41.928089,96.803206,propane tank,GOOGLE,84,2018-02-27
111044,2024,40.194693,100.609390,drive,GOOGLE,84,2018-02-28
111050,2024,41.336330,103.918270,well location,UNKNOWN,83,2018-02-28
111051,2024,41.317250,103.932880,site,UNKNOWN,,2018-02-28
111052,2024,41.475190,103.317050,site,UNKNOWN,83,2018-02-28
111053,2024,41.518390,104.022770,site,UNKNOWN,84,2020-02-20
111054,2024,41.325500,103.647350,site,UNKNOWN,,2018-02-28
111055,2024,41.179280,96.121263,drive on Centech Rd,GOOGLE,84,2018-03-01
111096,2024,42.075840,97.350489,approximate northeast corner,GOOGLE,84,2018-03-26
111116,2024,40.924360,98.502070,parking lot on east side of building,GPS-WAAS,83,2021-09-21
111146,2024,40.622760,96.975910,north end of railroad tie pile S of Hwy 103 bridge,GPS-WAAS,83,2018-11-30
111209,2024,40.496207,99.886840,approximate southwest corner,GOOGLE,84,2018-05-07
111329,2024,40.415142,97.593628,approximate northwest corner,GOOGLE,84,2018-05-31
111420,2024,42.536936,98.845496,west drive,GOOGLE,84,2018-06-19
111445,2024,41.241428,95.949464,gate entrance,GOOGLE,84,2018-06-28
111584,2024,41.442130,97.293950,parking lot outside main entrance,GPS-WAAS,83,2021-09-14
111860,2024,40.674580,96.178850,drive,GOOGLE,84,2018-09-24
111891,2024,42.379743,96.829779,drive,GOOGLE,84,2025-01-14
112087,2024,41.306290,96.330840,drive,GOOGLE,84,2018-11-08
112121,2024,41.713832,97.044733,drive,GOOGLE,84,2018-11-14
112180,2024,40.814468,98.626412,water well,GOOGLE,84,2018-12-03
112202,2024,40.773326,96.710250,drive,GOOGLE,84,2018-12-07
112362,2024,40.253851,101.085569,site,UNKNOWN,83,2019-01-04
112363,2024,40.022236,100.935140,site,GOOGLE,84,2019-01-04
112364,2024,40.031306,100.899583,site,UNKNOWN,84,2019-01-04
